epoch_s,bus_V,current_A,power_W
1781973941.8410,19.5075,0.34540,6.7379
1781973941.8960,19.5075,0.34540,6.7379
1781973941.9511,19.5075,0.34540,6.7379
1781973942.0061,19.5063,0.34973,6.8218
1781973942.0610,19.5063,0.34973,6.8218
1781973942.1157,19.5063,0.34973,6.8218
1781973942.1707,19.5075,0.34462,6.7228
1781973942.2250,19.5075,0.34462,6.7228
1781973942.2793,19.5075,0.34483,6.7267
1781973942.3306,19.5075,0.34483,6.7267
1781973942.3814,19.5075,0.34483,6.7267
1781973942.4333,19.5075,0.34538,6.7374
1781973942.4845,19.5075,0.34538,6.7374
1781973942.5395,19.5075,0.34538,6.7374
1781973942.5946,19.5063,0.34745,6.7774
1781973942.6496,19.5063,0.34745,6.7774
1781973942.7026,19.5050,0.35282,6.8819
1781973942.7560,19.5050,0.35282,6.8819
1781973942.8067,19.5050,0.35282,6.8819
1781973942.8613,19.5075,0.34565,6.7428
1781973942.9161,19.5075,0.34565,6.7428
1781973942.9712,19.5075,0.34565,6.7428
1781973943.0262,19.5075,0.34555,6.7408
1781973943.0813,19.5075,0.34555,6.7408
1781973943.1329,19.5075,0.34738,6.7764
1781973943.1879,19.5075,0.34738,6.7764
1781973943.2430,19.5075,0.34738,6.7764
1781973943.2980,19.5075,0.34425,6.7155
1781973943.3506,19.5075,0.34425,6.7155
1781973943.4013,19.5075,0.34425,6.7155
1781973943.4538,19.5063,0.34995,6.8262
1781973943.5079,19.5063,0.34995,6.8262
1781973943.5629,19.5075,0.34527,6.7355
1781973943.6179,19.5075,0.34527,6.7355
1781973943.6720,19.5075,0.34527,6.7355
1781973943.7228,19.5075,0.34480,6.7262
1781973943.7778,19.5075,0.34480,6.7262
1781973943.8309,19.5075,0.34480,6.7262
1781973943.8828,19.5075,0.34585,6.7467
1781973943.9378,19.5075,0.34585,6.7467
1781973943.9906,19.5075,0.34547,6.7394
1781973944.0416,19.5075,0.34547,6.7394
1781973944.0961,19.5075,0.34547,6.7394
1781973944.1499,19.5075,0.34695,6.7681
1781973944.2046,19.5075,0.34695,6.7681
1781973944.2596,19.5075,0.34695,6.7681
1781973944.3129,19.5075,0.34517,6.7335
1781973944.3679,19.5075,0.34517,6.7335
1781973944.4193,19.5063,0.34723,6.7731
1781973944.4740,19.5063,0.34723,6.7731
1781973944.5290,19.5063,0.34723,6.7731
1781973944.5827,19.5038,0.35390,6.9024
1781973944.6378,19.5038,0.35390,6.9024
1781973944.6917,19.5025,0.35390,6.9019
1781973944.7457,19.5025,0.36107,7.0419
1781973944.8007,19.5025,0.36107,7.0419
1781973944.8558,19.5075,0.34582,6.7462
1781973944.9073,19.5075,0.34582,6.7462
1781973944.9576,19.5075,0.34582,6.7462
1781973945.0126,19.5075,0.34628,6.7550
1781973945.0661,19.5075,0.34628,6.7550
1781973945.1212,19.5075,0.34628,6.7550
1781973945.1762,19.5075,0.34642,6.7579
1781973945.2312,19.5075,0.34642,6.7579
1781973945.2862,19.5063,0.34770,6.7823
1781973945.3368,19.5063,0.34770,6.7823
1781973945.3907,19.5063,0.34770,6.7823
1781973945.4414,19.5075,0.34555,6.7408
1781973945.4947,19.5075,0.34555,6.7408
1781973945.5498,19.5063,0.34555,6.7404
1781973945.6029,19.5063,0.34740,6.7765
1781973945.6579,19.5063,0.34740,6.7765
1781973945.7112,19.5063,0.34885,6.8048
1781973945.7623,19.5063,0.34885,6.8048
1781973945.8173,19.5063,0.34885,6.8048
1781973945.8687,19.5075,0.34582,6.7462
1781973945.9237,19.5075,0.34582,6.7462
1781973945.9788,19.5075,0.34582,6.7462
1781973946.0332,19.5075,0.34570,6.7437
1781973946.0883,19.5075,0.34570,6.7437
1781973946.1416,19.5000,0.36607,7.1385
1781973946.1967,19.5000,0.36607,7.1385
1781973946.2515,19.5000,0.36607,7.1385
1781973946.3065,19.5063,0.34813,6.7906
1781973946.3584,19.5063,0.34813,6.7906
1781973946.4104,19.5038,0.35423,6.9087
1781973946.4631,19.5038,0.35423,6.9087
1781973946.5179,19.5038,0.35423,6.9087
1781973946.5729,19.5063,0.34780,6.7843
1781973946.6279,19.5063,0.34780,6.7843
1781973946.6828,19.5063,0.34780,6.7843
