epoch_s,bus_V,current_A,power_W
1781971716.7856,19.4887,0.37452,7.2990
1781971716.8406,19.4887,0.37452,7.2990
1781971716.8956,19.4887,0.37452,7.2990
1781971716.9507,19.4863,0.38072,7.4189
1781971717.0034,19.4863,0.38072,7.4189
1781971717.0582,19.4863,0.38072,7.4189
1781971717.1096,19.4838,0.38835,7.5665
1781971717.1602,19.4838,0.38835,7.5665
1781971717.2153,19.4887,0.37385,7.2859
1781971717.2697,19.4887,0.37385,7.2859
1781971717.3248,19.4887,0.37385,7.2859
1781971717.3788,19.4875,0.37690,7.3448
1781971717.4322,19.4875,0.37690,7.3448
1781971717.4853,19.4875,0.37690,7.3448
1781971717.5403,19.4887,0.37600,7.3278
1781971717.5954,19.4887,0.37600,7.3278
1781971717.6485,19.4863,0.38118,7.4277
1781971717.7035,19.4863,0.38118,7.4277
1781971717.7585,19.4863,0.38118,7.4277
1781971717.8133,19.4887,0.37410,7.2907
1781971717.8683,19.4887,0.37410,7.2907
1781971717.9234,19.4875,0.37410,7.2903
1781971717.9760,19.4875,0.37568,7.3210
1781971718.0273,19.4875,0.37568,7.3210
1781971718.0784,19.4887,0.37440,7.2966
1781971718.1334,19.4887,0.37440,7.2966
1781971718.1884,19.4887,0.37440,7.2966
1781971718.2386,19.4887,0.37293,7.2678
1781971718.2932,19.4887,0.37293,7.2678
1781971718.3434,19.4887,0.37293,7.2678
1781971718.3984,19.4887,0.37570,7.3219
1781971718.4527,19.4887,0.37570,7.3219
1781971718.5076,19.4887,0.37325,7.2742
1781971718.5593,19.4887,0.37325,7.2742
1781971718.6132,19.4887,0.37325,7.2742
1781971718.6682,19.4887,0.37377,7.2844
1781971718.7185,19.4887,0.37377,7.2844
1781971718.7735,19.4887,0.37377,7.2844
1781971718.8285,19.4887,0.37570,7.3219
1781971718.8835,19.4887,0.37570,7.3219
1781971718.9386,19.4887,0.37517,7.3117
1781971718.9916,19.4887,0.37517,7.3117
1781971719.0425,19.4887,0.37517,7.3117
1781971719.0975,19.4875,0.37855,7.3770
1781971719.1506,19.4875,0.37855,7.3770
1781971719.2056,19.4875,0.37855,7.3770
1781971719.2607,19.4887,0.37383,7.2854
1781971719.3157,19.4887,0.37383,7.2854
1781971719.3707,19.4875,0.37810,7.3682
1781971719.4227,19.4875,0.37810,7.3682
1781971719.4777,19.4875,0.37810,7.3682
1781971719.5318,19.4863,0.38057,7.4160
1781971719.5869,19.4863,0.38057,7.4160
1781971719.6419,19.4875,0.37805,7.3672
1781971719.6958,19.4875,0.37805,7.3672
1781971719.7508,19.4875,0.37805,7.3672
1781971719.8032,19.4887,0.37487,7.3058
1781971719.8539,19.4887,0.37487,7.3058
1781971719.9060,19.4887,0.37487,7.3058
1781971719.9588,19.4887,0.37548,7.3175
1781971720.0138,19.4887,0.37548,7.3175
1781971720.0688,19.4887,0.37400,7.2888
1781971720.1239,19.4887,0.37400,7.2888
1781971720.1750,19.4887,0.37400,7.2888
1781971720.2284,19.4887,0.37333,7.2756
1781971720.2834,19.4887,0.37333,7.2756
1781971720.3335,19.4887,0.37333,7.2756
1781971720.3854,19.4863,0.38220,7.4476
1781971720.4367,19.4863,0.38220,7.4476
1781971720.4883,19.4863,0.38220,7.4476
1781971720.5434,19.4875,0.37733,7.3531
1781971720.5983,19.4875,0.37733,7.3531
1781971720.6533,19.4887,0.37438,7.2961
1781971720.7084,19.4887,0.37438,7.2961
1781971720.7617,19.4887,0.37438,7.2961
1781971720.8129,19.4863,0.38157,7.4355
1781971720.8670,19.4863,0.38157,7.4355
1781971720.9221,19.4887,0.38157,7.4364
1781971720.9759,19.4887,0.37423,7.2932
1781971721.0289,19.4887,0.37423,7.2932
1781971721.0837,19.4812,0.39517,7.6985
1781971721.1374,19.4812,0.39517,7.6985
