epoch_s,bus_V,current_A,power_W
1781981772.9688,19.5138,0.34947,6.8196
1781981773.0238,19.5138,0.34947,6.8196
1781981773.0775,19.5138,0.34947,6.8196
1781981773.1325,19.5138,0.34873,6.8049
1781981773.1876,19.5138,0.34873,6.8049
1781981773.2404,19.5138,0.34873,6.8049
1781981773.2955,19.5125,0.35038,6.8367
1781981773.3465,19.5125,0.35038,6.8367
1781981773.3973,19.5138,0.34797,6.7903
1781981773.4523,19.5138,0.34797,6.7903
1781981773.5074,19.5138,0.34797,6.7903
1781981773.5623,19.5125,0.35275,6.8830
1781981773.6173,19.5125,0.35275,6.8830
1781981773.6723,19.5125,0.35275,6.8830
1781981773.7230,19.5138,0.35100,6.8493
1781981773.7780,19.5138,0.35100,6.8493
1781981773.8330,19.5138,0.34900,6.8103
1781981773.8880,19.5138,0.34900,6.8103
1781981773.9430,19.5138,0.34900,6.8103
1781981773.9976,19.5138,0.34900,6.8103
1781981774.0481,19.5138,0.34900,6.8103
1781981774.1031,19.5138,0.34900,6.8103
1781981774.1558,19.5138,0.34903,6.8108
1781981774.2061,19.5138,0.34903,6.8108
1781981774.2565,19.5113,0.35660,6.9577
1781981774.3111,19.5113,0.35660,6.9577
1781981774.3654,19.5113,0.35660,6.9577
1781981774.4171,19.5100,0.35968,7.0173
1781981774.4674,19.5100,0.35968,7.0173
1781981774.5209,19.5100,0.35968,7.0173
1781981774.5712,19.5125,0.35050,6.8391
1781981774.6261,19.5125,0.35050,6.8391
1781981774.6767,19.5125,0.35050,6.8391
1781981774.7311,19.5113,0.35530,6.9323
1781981774.7862,19.5113,0.35530,6.9323
1781981774.8388,19.5150,0.34728,6.7771
1781981774.8921,19.5150,0.34728,6.7771
1781981774.9471,19.5150,0.34728,6.7771
1781981774.9992,19.5138,0.34832,6.7971
1781981775.0542,19.5138,0.34832,6.7971
1781981775.1092,19.5125,0.35203,6.8689
1781981775.1643,19.5125,0.35203,6.8689
1781981775.2166,19.5125,0.35203,6.8689
1781981775.2696,19.5125,0.35245,6.8772
1781981775.3246,19.5125,0.35245,6.8772
1781981775.3779,19.5125,0.35245,6.8772
1781981775.4313,19.5113,0.35433,6.9133
1781981775.4823,19.5113,0.35433,6.9133
1781981775.5373,19.5125,0.35187,6.8660
1781981775.5921,19.5125,0.35187,6.8660
1781981775.6465,19.5125,0.35187,6.8660
1781981775.7015,19.5138,0.34942,6.8186
1781981775.7563,19.5138,0.34942,6.8186
1781981775.8105,19.5138,0.34942,6.8186
1781981775.8656,19.5075,0.36877,7.1939
1781981775.9171,19.5075,0.36877,7.1939
1781981775.9686,19.5125,0.35360,6.8996
1781981776.0236,19.5125,0.35360,6.8996
1781981776.0786,19.5125,0.35360,6.8996
1781981776.1328,19.5125,0.35263,6.8806
1781981776.1879,19.5125,0.35263,6.8806
1781981776.2429,19.5125,0.35263,6.8806
1781981776.2976,19.5125,0.35340,6.8957
1781981776.3488,19.5125,0.35340,6.8957
1781981776.4004,19.5125,0.35145,6.8577
1781981776.4551,19.5125,0.35145,6.8577
1781981776.5101,19.5125,0.35145,6.8577
1781981776.5651,19.5125,0.35473,6.9216
1781981776.6174,19.5125,0.35473,6.9216
1781981776.6721,19.5125,0.35473,6.9216
1781981776.7271,19.5113,0.35533,6.9328
1781981776.7820,19.5113,0.35533,6.9328
1781981776.8370,19.5113,0.35785,6.9821
1781981776.8888,19.5113,0.35785,6.9821
1781981776.9407,19.5113,0.35785,6.9821
1781981776.9927,19.5125,0.35270,6.8821
1781981777.0476,19.5125,0.35270,6.8821
1781981777.1026,19.5125,0.35270,6.8821
1781981777.1570,19.5138,0.35098,6.8488
1781981777.2098,19.5138,0.35098,6.8488
1781981777.2632,19.5125,0.35258,6.8796
1781981777.3176,19.5125,0.35258,6.8796
1781981777.3726,19.5125,0.35258,6.8796
1781981777.4266,19.5125,0.35058,6.8406
1781981777.4812,19.5125,0.35058,6.8406
1781981777.5350,19.5100,0.35058,6.8397
1781981777.5870,19.5100,0.36092,7.0416
1781981777.6372,19.5100,0.36092,7.0416
1781981777.6905,19.5113,0.35625,6.9509
1781981777.7442,19.5113,0.35625,6.9509
1781981777.7971,19.5113,0.35625,6.9509
1781981777.8499,19.5138,0.34980,6.8259
1781981777.9022,19.5138,0.34980,6.8259
1781981777.9558,19.5138,0.34980,6.8259
1781981778.0075,19.5125,0.35232,6.8747
1781981778.0626,19.5125,0.35232,6.8747
1781981778.1175,19.5138,0.34793,6.7893
1781981778.1682,19.5138,0.34793,6.7893
1781981778.2187,19.5138,0.34793,6.7893
1781981778.2737,19.5138,0.34780,6.7869
1781981778.3249,19.5138,0.34780,6.7869
1781981778.3792,19.5138,0.34780,6.7869
1781981778.4302,19.5125,0.35250,6.8782
1781981778.4837,19.5125,0.35250,6.8782
1781981778.5388,19.5138,0.34825,6.7957
1781981778.5927,19.5138,0.34825,6.7957
1781981778.6450,19.5138,0.34825,6.7957
1781981778.6982,19.5125,0.35395,6.9064
1781981778.7525,19.5125,0.35395,6.9064
1781981778.8058,19.5125,0.35395,6.9064
1781981778.8608,19.5087,0.36290,7.0797
1781981778.9124,19.5087,0.36290,7.0797
1781981778.9643,19.5138,0.34738,6.7786
1781981779.0155,19.5138,0.34738,6.7786
1781981779.0706,19.5138,0.34738,6.7786
1781981779.1256,19.5138,0.34975,6.8249
1781981779.1796,19.5138,0.34975,6.8249
1781981779.2346,19.5138,0.34975,6.8249
1781981779.2865,19.5138,0.34695,6.7703
1781981779.3371,19.5138,0.34695,6.7703
1781981779.3922,19.5125,0.35255,6.8791
1781981779.4463,19.5125,0.35255,6.8791
1781981779.4983,19.5125,0.35255,6.8791
1781981779.5533,19.5125,0.35142,6.8572
1781981779.6041,19.5125,0.35142,6.8572
1781981779.6591,19.5125,0.35142,6.8572
1781981779.7131,19.5138,0.35072,6.8440
1781981779.7633,19.5138,0.35072,6.8440
1781981779.8151,19.5138,0.35072,6.8440
1781981779.8671,19.5138,0.34887,6.8079
1781981779.9221,19.5138,0.34887,6.8079
1781981779.9771,19.5138,0.34852,6.8010
1781981780.0281,19.5138,0.34852,6.8010
1781981780.0831,19.5138,0.34852,6.8010
1781981780.1382,19.5138,0.34935,6.8171
1781981780.1932,19.5138,0.34935,6.8171
1781981780.2470,19.5138,0.34935,6.8171
1781981780.3020,19.5138,0.34978,6.8254
1781981780.3554,19.5138,0.34978,6.8254
1781981780.4074,19.5138,0.34785,6.7879
1781981780.4618,19.5138,0.34785,6.7879
1781981780.5130,19.5138,0.34785,6.7879
1781981780.5661,19.5125,0.35253,6.8786
1781981780.6212,19.5125,0.35253,6.8786
1781981780.6725,19.5125,0.35253,6.8786
1781981780.7275,19.5138,0.35070,6.8435
1781981780.7809,19.5138,0.35070,6.8435
1781981780.8359,19.5113,0.35352,6.8977
1781981780.8899,19.5113,0.35352,6.8977
1781981780.9425,19.5113,0.35352,6.8977
1781981780.9970,19.5138,0.34992,6.8283
1781981781.0508,19.5138,0.34992,6.8283
1781981781.1024,19.5138,0.34992,6.8283
1781981781.1553,19.5138,0.34818,6.7942
1781981781.2087,19.5138,0.34818,6.7942
1781981781.2624,19.5138,0.35008,6.8313
1781981781.3138,19.5138,0.35008,6.8313
1781981781.3688,19.5138,0.35008,6.8313
1781981781.4221,19.5138,0.34845,6.7996
1781981781.4771,19.5138,0.34845,6.7996
1781981781.5281,19.5138,0.34845,6.7996
1781981781.5789,19.5138,0.35030,6.8357
1781981781.6304,19.5138,0.35030,6.8357
1781981781.6855,19.5125,0.35228,6.8738
1781981781.7403,19.5125,0.35228,6.8738
1781981781.7920,19.5125,0.35228,6.8738
1781981781.8471,19.5138,0.34865,6.8035
1781981781.9021,19.5138,0.34865,6.8035
1781981781.9554,19.5138,0.34865,6.8035
1781981782.0105,19.5138,0.34880,6.8064
1781981782.0654,19.5138,0.34880,6.8064
1781981782.1205,19.5138,0.34935,6.8171
1781981782.1742,19.5138,0.34935,6.8171
1781981782.2292,19.5138,0.34935,6.8171
1781981782.2843,19.5138,0.34708,6.7727
1781981782.3351,19.5138,0.34708,6.7727
1781981782.3902,19.5125,0.34708,6.7723
1781981782.4403,19.5125,0.35302,6.8884
1781981782.4954,19.5125,0.35302,6.8884
1781981782.5504,19.5138,0.34898,6.8098
1781981782.6055,19.5138,0.34898,6.8098
1781981782.6603,19.5138,0.34898,6.8098
1781981782.7128,19.5138,0.34945,6.8191
1781981782.7663,19.5138,0.34945,6.8191
1781981782.8213,19.5100,0.36050,7.0334
1781981782.8751,19.5100,0.36050,7.0334
1781981782.9271,19.5100,0.36050,7.0334
1781981782.9821,19.5138,0.34850,6.8005
1781981783.0327,19.5138,0.34850,6.8005
1781981783.0838,19.5138,0.34850,6.8005
1781981783.1389,19.5125,0.35282,6.8845
1781981783.1920,19.5125,0.35282,6.8845
1781981783.2470,19.5138,0.35282,6.8849
1781981783.2993,19.5138,0.34910,6.8123
1781981783.3543,19.5138,0.34910,6.8123
1781981783.4093,19.5138,0.35020,6.8337
1781981783.4642,19.5138,0.35020,6.8337
1781981783.5179,19.5138,0.35020,6.8337
1781981783.5729,19.5125,0.35005,6.8304
1781981783.6243,19.5125,0.35005,6.8304
1781981783.6757,19.5138,0.35005,6.8308
1781981783.7300,19.5138,0.34885,6.8074
1781981783.7850,19.5138,0.34885,6.8074
1781981783.8392,19.5125,0.35185,6.8655
1781981783.8942,19.5125,0.35185,6.8655
1781981783.9478,19.5125,0.35185,6.8655
1781981784.0028,19.5138,0.34770,6.7849
1781981784.0579,19.5138,0.34770,6.7849
1781981784.1086,19.5138,0.34845,6.7996
1781981784.1636,19.5138,0.34845,6.7996
1781981784.2187,19.5138,0.34845,6.7996
1781981784.2689,19.5138,0.34865,6.8035
1781981784.3227,19.5138,0.34865,6.8035
1781981784.3778,19.5138,0.34865,6.8035
1781981784.4328,19.5138,0.34820,6.7947
1781981784.4878,19.5138,0.34820,6.7947
1781981784.5428,19.5138,0.35008,6.8313
1781981784.5978,19.5138,0.35008,6.8313
1781981784.6509,19.5138,0.35008,6.8313
1781981784.7059,19.5138,0.34813,6.7932
1781981784.7609,19.5138,0.34813,6.7932
1781981784.8141,19.5138,0.34813,6.7932
1781981784.8656,19.5075,0.36682,7.1558
1781981784.9207,19.5075,0.36682,7.1558
1781981784.9755,19.5138,0.34825,6.7957
1781981785.0273,19.5138,0.34825,6.7957
1781981785.0809,19.5138,0.34825,6.7957
1781981785.1312,19.5138,0.34933,6.8166
1781981785.1863,19.5138,0.34933,6.8166
1781981785.2413,19.5138,0.34933,6.8166
1781981785.2963,19.5138,0.35082,6.8459
1781981785.3514,19.5138,0.35082,6.8459
