epoch_s,bus_V,current_A,power_W
1781981348.6293,19.5113,0.35760,6.9772
1781981348.6843,19.5113,0.35760,6.9772
1781981348.7393,19.5113,0.35760,6.9772
1781981348.7904,19.5150,0.34673,6.7663
1781981348.8455,19.5150,0.34673,6.7663
1781981348.8955,19.5150,0.34673,6.7663
1781981348.9506,19.5138,0.34895,6.8093
1781981349.0029,19.5138,0.34895,6.8093
1781981349.0579,19.5138,0.34892,6.8088
1781981349.1114,19.5138,0.34892,6.8088
1781981349.1619,19.5138,0.34892,6.8088
1781981349.2158,19.5150,0.34703,6.7722
1781981349.2695,19.5150,0.34703,6.7722
1781981349.3245,19.5150,0.34703,6.7722
1781981349.3795,19.5100,0.36120,7.0470
1781981349.4346,19.5100,0.36120,7.0470
1781981349.4896,19.5075,0.37025,7.2227
1781981349.5407,19.5075,0.37025,7.2227
1781981349.5957,19.5075,0.37025,7.2227
1781981349.6508,19.5063,0.37195,7.2553
1781981349.7019,19.5063,0.37195,7.2553
1781981349.7567,19.5063,0.37195,7.2553
1781981349.8078,19.5075,0.37105,7.2383
1781981349.8628,19.5075,0.37105,7.2383
1781981349.9179,19.5075,0.37072,7.2319
1781981349.9683,19.5075,0.37072,7.2319
1781981350.0233,19.5075,0.37072,7.2319
1781981350.0739,19.5063,0.37162,7.2490
1781981350.1248,19.5063,0.37162,7.2490
1781981350.1798,19.5063,0.37162,7.2490
1781981350.2329,19.5075,0.36935,7.2051
1781981350.2879,19.5075,0.36935,7.2051
1781981350.3391,19.5012,0.36935,7.2028
1781981350.3941,19.5012,0.38943,7.5943
1781981350.4460,19.5012,0.38943,7.5943
1781981350.5000,19.5050,0.37627,7.3392
1781981350.5533,19.5050,0.37627,7.3392
1781981350.6084,19.5050,0.37627,7.3392
1781981350.6619,19.5038,0.38053,7.4217
1781981350.7153,19.5038,0.38053,7.4217
1781981350.7705,19.5063,0.37458,7.3066
1781981350.8237,19.5063,0.37458,7.3066
1781981350.8782,19.5063,0.37458,7.3066
1781981350.9333,19.5063,0.37430,7.3012
1781981350.9883,19.5063,0.37430,7.3012
1781981351.0433,19.5063,0.37430,7.3012
1781981351.0968,19.5063,0.37365,7.2885
1781981351.1502,19.5063,0.37365,7.2885
1781981351.2034,19.5063,0.37375,7.2905
1781981351.2542,19.5063,0.37375,7.2905
1781981351.3092,19.5063,0.37375,7.2905
1781981351.3614,19.5063,0.37430,7.3012
1781981351.4153,19.5063,0.37430,7.3012
1781981351.4703,19.5063,0.37430,7.3012
1781981351.5254,19.5125,0.35620,6.9504
1781981351.5764,19.5125,0.35620,6.9504
1781981351.6314,19.5125,0.35240,6.8762
1781981351.6861,19.5125,0.35240,6.8762
1781981351.7362,19.5125,0.35240,6.8762
1781981351.7875,19.5138,0.35285,6.8854
1781981351.8426,19.5138,0.35285,6.8854
1781981351.8976,19.5138,0.35285,6.8854
1781981351.9489,19.5138,0.35163,6.8615
1781981352.0039,19.5138,0.35163,6.8615
1781981352.0589,19.5138,0.35150,6.8591
1781981352.1120,19.5138,0.35150,6.8591
1781981352.1653,19.5138,0.35150,6.8591
1781981352.2203,19.5125,0.35308,6.8894
1781981352.2710,19.5125,0.35308,6.8894
1781981352.3260,19.5125,0.35308,6.8894
1781981352.3786,19.5138,0.35170,6.8630
1781981352.4305,19.5138,0.35170,6.8630
1781981352.4856,19.5138,0.35118,6.8527
