modelo,tecnica,dispositivo,corrida,geomean_ms,log_geomean_ms
MobileNetV2,INT8,CPU,1,12.44018,2.520931
MobileNetV2,INT8,CPU,2,12.57639,2.531821
MobileNetV2,INT8,CPU,3,12.51531,2.526953
MobileNetV2,INT8,CPU,4,12.54373,2.529221
MobileNetV2,INT8,CPU,5,12.47234,2.523514
MobileNetV2,Poda,CPU,1,8.77137,2.171493
MobileNetV2,Poda,CPU,2,8.80279,2.175069
MobileNetV2,Poda,CPU,3,8.76572,2.170849
MobileNetV2,Poda,CPU,4,8.85898,2.181432
MobileNetV2,Poda,CPU,5,8.78349,2.172873
MobileNetV2,V0,CPU,1,12.60161,2.533824
MobileNetV2,V0,CPU,2,12.61895,2.535199
MobileNetV2,V0,CPU,3,12.57856,2.531994
MobileNetV2,V0,CPU,4,12.53425,2.528465
MobileNetV2,V0,CPU,5,12.72379,2.543473
ResNet-50,INT8,CPU,1,36.02205,3.584131
ResNet-50,INT8,CPU,2,35.82902,3.578758
ResNet-50,INT8,CPU,3,35.87627,3.580076
ResNet-50,INT8,CPU,4,36.23927,3.590143
ResNet-50,INT8,CPU,5,36.09815,3.586242
ResNet-50,V0,CPU,1,89.65928,4.496017
ResNet-50,V0,CPU,2,90.25884,4.502682
ResNet-50,V0,CPU,3,90.51915,4.505561
ResNet-50,V0,CPU,4,90.14509,4.501420
ResNet-50,V0,CPU,5,89.88919,4.498578
ResNet-50,Poda,CPU,1,47.87358,3.868564
ResNet-50,Poda,CPU,2,47.92637,3.869666
ResNet-50,Poda,CPU,3,47.85881,3.868255
ResNet-50,Poda,CPU,4,48.00374,3.871279
ResNet-50,Poda,CPU,5,47.86278,3.868338
MobileNetV2,INT8,GPU,1,1.87877,0.630618
MobileNetV2,INT8,GPU,2,1.84779,0.613990
MobileNetV2,INT8,GPU,3,1.84763,0.613904
MobileNetV2,INT8,GPU,4,1.86134,0.621298
MobileNetV2,INT8,GPU,5,1.85152,0.616007
MobileNetV2,Poda+KD,GPU,1,2.47549,0.906439
MobileNetV2,Poda,GPU,1,2.47543,0.906413
MobileNetV2,Poda,GPU,2,2.45555,0.898350
MobileNetV2,Poda,GPU,3,2.47606,0.906669
MobileNetV2,Poda,GPU,4,2.46752,0.903214
MobileNetV2,Poda,GPU,5,2.45730,0.899063
MobileNetV2,V0,GPU,1,2.46462,0.902039
MobileNetV2,V0,GPU,2,2.47478,0.906150
MobileNetV2,V0,GPU,3,2.48248,0.909258
MobileNetV2,V0,GPU,4,2.45991,0.900125
MobileNetV2,V0,GPU,5,2.90775,1.067378
ResNet-50,INT8,GPU,1,2.54529,0.934243
ResNet-50,INT8,GPU,2,2.54503,0.934141
ResNet-50,INT8,GPU,3,2.54683,0.934850
ResNet-50,INT8,GPU,4,2.56680,0.942658
ResNet-50,INT8,GPU,5,2.55217,0.936943
ResNet-50,V0,GPU,1,6.58809,1.885263
ResNet-50,V0,GPU,2,6.58949,1.885476
ResNet-50,V0,GPU,3,6.58057,1.884122
ResNet-50,V0,GPU,4,6.59310,1.886024
ResNet-50,V0,GPU,5,6.57919,1.883911
ResNet-50,Poda+KD,GPU,1,5.10675,1.630563
ResNet-50,Poda,GPU,1,5.10073,1.629385
ResNet-50,Poda,GPU,2,5.10368,1.629962
ResNet-50,Poda,GPU,3,5.11345,1.631874
ResNet-50,Poda,GPU,4,5.09958,1.629159
ResNet-50,Poda,GPU,5,5.14731,1.638475
MobileNetV2,INT8,RPi-CPU,1,29.56842,3.386707
MobileNetV2,INT8,RPi-CPU,2,30.34073,3.412491
MobileNetV2,INT8,RPi-CPU,3,28.15613,3.337765
MobileNetV2,INT8,RPi-CPU,4,25.42549,3.235752
MobileNetV2,INT8,RPi-CPU,5,22.15463,3.098047
MobileNetV2,INT8,RPi-CPU,6,30.31016,3.411483
MobileNetV2,INT8,RPi-CPU,7,25.65163,3.244607
