epoch_s,bus_V,current_A,power_W
1781994688.3715,19.4863,0.45177,8.8034
1781994688.4266,19.4863,0.45177,8.8034
1781994688.4772,19.4863,0.45177,8.8034
1781994688.5317,19.4975,0.41565,8.1041
1781994688.5867,19.4975,0.41565,8.1041
1781994688.6400,19.4975,0.41565,8.1041
1781994688.6946,19.5100,0.37843,7.3831
1781994688.7488,19.5100,0.37843,7.3831
1781994688.8034,19.5100,0.37765,7.3680
1781994688.8584,19.5100,0.37765,7.3680
1781994688.9093,19.5100,0.37765,7.3680
1781994688.9639,19.5100,0.37800,7.3748
1781994689.0187,19.5100,0.37800,7.3748
1781994689.0701,19.5100,0.37800,7.3748
1781994689.1247,19.5100,0.37627,7.3411
1781994689.1797,19.5100,0.37627,7.3411
1781994689.2307,19.5087,0.37833,7.3806
1781994689.2814,19.5087,0.37833,7.3806
1781994689.3347,19.5087,0.37833,7.3806
1781994689.3874,19.5100,0.37712,7.3577
1781994689.4407,19.5100,0.37712,7.3577
1781994689.4932,19.5100,0.37712,7.3577
1781994689.5463,19.5100,0.37657,7.3470
1781994689.5975,19.5100,0.37657,7.3470
1781994689.6522,19.5100,0.37657,7.3470
1781994689.7033,19.5100,0.37685,7.3523
1781994689.7539,19.5100,0.37685,7.3523
1781994689.8080,19.5100,0.37728,7.3606
1781994689.8618,19.5100,0.37728,7.3606
1781994689.9168,19.5100,0.37728,7.3606
1781994689.9697,19.5113,0.37383,7.2938
1781994690.0234,19.5113,0.37383,7.2938
1781994690.0767,19.5113,0.37383,7.2938
1781994690.1307,19.5113,0.37385,7.2943
1781994690.1853,19.5113,0.37385,7.2943
1781994690.2366,19.5113,0.37362,7.2899
1781994690.2898,19.5113,0.37362,7.2899
1781994690.3443,19.5113,0.37362,7.2899
1781994690.3954,19.5087,0.37943,7.4021
1781994690.4504,19.5087,0.37943,7.4021
1781994690.5026,19.5087,0.37943,7.4021
1781994690.5540,19.5075,0.38620,7.5338
1781994690.6046,19.5075,0.38620,7.5338
1781994690.6574,19.4788,0.47108,9.1760
1781994690.7084,19.4788,0.47108,9.1760
1781994690.7616,19.4788,0.47108,9.1760
1781994690.8166,19.4737,0.48450,9.4350
1781994690.8716,19.4737,0.48450,9.4350
1781994690.9266,19.4737,0.48450,9.4350
1781994690.9789,19.4863,0.44615,8.6938
1781994691.0310,19.4863,0.44615,8.6938
1781994691.0838,19.4600,0.52440,10.2048
1781994691.1380,19.4600,0.52440,10.2048
1781994691.1889,19.4600,0.52440,10.2048
1781994691.2426,19.4325,0.60847,11.8242
1781994691.2956,19.4325,0.60847,11.8242
1781994691.3506,19.4325,0.60847,11.8242
1781994691.4056,19.4325,0.61035,11.8606
1781994691.4599,19.4325,0.61035,11.8606
1781994691.5143,19.4325,0.61115,11.8762
1781994691.5666,19.4325,0.61115,11.8762
1781994691.6166,19.4325,0.61115,11.8762
1781994691.6686,19.4325,0.61120,11.8771
1781994691.7201,19.4325,0.61120,11.8771
1781994691.7717,19.4325,0.61120,11.8771
1781994691.8256,19.4325,0.61130,11.8791
1781994691.8775,19.4325,0.61130,11.8791
1781994691.9313,19.4325,0.61130,11.8791
1781994691.9854,19.4325,0.61123,11.8776
1781994692.0384,19.4325,0.61123,11.8776
1781994692.0892,19.4325,0.61295,11.9112
1781994692.1401,19.4325,0.61295,11.9112
1781994692.1914,19.4325,0.61295,11.9112
1781994692.2445,19.4313,0.61142,11.8808
1781994692.2991,19.4313,0.61142,11.8808
1781994692.3534,19.4313,0.61142,11.8808
1781994692.4066,19.4325,0.61195,11.8917
1781994692.4613,19.4325,0.61195,11.8917
1781994692.5153,19.4325,0.61177,11.8883
1781994692.5662,19.4325,0.61177,11.8883
1781994692.6195,19.4325,0.61177,11.8883
1781994692.6734,19.4325,0.61235,11.8995
1781994692.7279,19.4325,0.61235,11.8995
1781994692.7825,19.4325,0.61235,11.8995
1781994692.8368,19.4325,0.60925,11.8393
1781994692.8868,19.4325,0.60925,11.8393
1781994692.9392,19.4325,0.60940,11.8422
1781994692.9910,19.4325,0.60940,11.8422
1781994693.0446,19.4325,0.60940,11.8422
1781994693.0962,19.4337,0.60837,11.8230
1781994693.1470,19.4337,0.60837,11.8230
1781994693.1994,19.4337,0.60837,11.8230
1781994693.2526,19.4325,0.60973,11.8485
1781994693.3070,19.4325,0.60973,11.8485
1781994693.3597,19.4325,0.60973,11.8485
1781994693.4145,19.4400,0.58742,11.4195
1781994693.4696,19.4400,0.58742,11.4195
1781994693.5220,19.4400,0.58708,11.4127
1781994693.5764,19.4400,0.58708,11.4127
1781994693.6298,19.4400,0.58708,11.4127
1781994693.6807,19.4387,0.59355,11.5379
1781994693.7310,19.4387,0.59355,11.5379
1781994693.7846,19.4387,0.59355,11.5379
1781994693.8359,19.4400,0.58720,11.4152
1781994693.8907,19.4400,0.58720,11.4152
1781994693.9420,19.4413,0.58562,11.3853
1781994693.9947,19.4413,0.58562,11.3853
1781994694.0477,19.4413,0.58562,11.3853
1781994694.0982,19.4400,0.58725,11.4161
1781994694.1489,19.4400,0.58725,11.4161
1781994694.2031,19.4400,0.58725,11.4161
1781994694.2579,19.4413,0.58578,11.3882
1781994694.3113,19.4413,0.58578,11.3882
1781994694.3656,19.4413,0.58578,11.3882
1781994694.4197,19.4413,0.58635,11.3994
1781994694.4746,19.4413,0.58635,11.3994
1781994694.5293,19.4375,0.59532,11.5716
1781994694.5794,19.4375,0.59532,11.5716
1781994694.6322,19.4375,0.59532,11.5716
1781994694.6850,19.4413,0.58495,11.3722
1781994694.7368,19.4413,0.58495,11.3722
1781994694.7918,19.4413,0.58495,11.3722
1781994694.8468,19.4400,0.58788,11.4283
1781994694.8975,19.4400,0.58788,11.4283
1781994694.9525,19.4413,0.58515,11.3760
1781994695.0071,19.4413,0.58515,11.3760
1781994695.0613,19.4413,0.58515,11.3760
1781994695.1159,19.4400,0.58690,11.4093
1781994695.1675,19.4400,0.58690,11.4093
1781994695.2201,19.4400,0.58690,11.4093
1781994695.2711,19.4413,0.58503,11.3736
1781994695.3259,19.4413,0.58503,11.3736
1781994695.3799,19.4375,0.59593,11.5833
1781994695.4314,19.4375,0.59593,11.5833
1781994695.4817,19.4375,0.59593,11.5833
1781994695.5354,19.4400,0.58885,11.4472
1781994695.5900,19.4400,0.58885,11.4472
1781994695.6446,19.4400,0.58885,11.4472
1781994695.6974,19.4413,0.58560,11.3848
1781994695.7514,19.4413,0.58560,11.3848
1781994695.8034,19.4400,0.58690,11.4093
1781994695.8580,19.4400,0.58690,11.4093
1781994695.9092,19.4400,0.58690,11.4093
1781994695.9606,19.4400,0.58637,11.3991
1781994696.0141,19.4400,0.58637,11.3991
1781994696.0651,19.4400,0.58637,11.3991
1781994696.1183,19.4400,0.58533,11.3787
1781994696.1715,19.4400,0.58533,11.3787
1781994696.2246,19.4400,0.58708,11.4127
1781994696.2780,19.4400,0.58708,11.4127
1781994696.3307,19.4400,0.58708,11.4127
1781994696.3840,19.4363,0.60047,11.6710
1781994696.4368,19.4363,0.60047,11.6710
1781994696.4905,19.4363,0.60047,11.6710
1781994696.5416,19.4375,0.59565,11.5779
1781994696.5953,19.4375,0.59565,11.5779
1781994696.6487,19.4375,0.59565,11.5779
1781994696.7035,19.4387,0.59110,11.4902
1781994696.7574,19.4387,0.59110,11.4902
1781994696.8125,19.4387,0.58858,11.4412
1781994696.8641,19.4387,0.58858,11.4412
1781994696.9182,19.4387,0.58858,11.4412
1781994696.9709,19.4387,0.59025,11.4737
1781994697.0259,19.4387,0.59025,11.4737
1781994697.0771,19.4400,0.59025,11.4745
1781994697.1321,19.4400,0.58850,11.4404
1781994697.1866,19.4400,0.58850,11.4404
1781994697.2380,19.4387,0.58960,11.4611
1781994697.2923,19.4387,0.58960,11.4611
1781994697.3446,19.4387,0.58960,11.4611
1781994697.3950,19.4337,0.60668,11.7900
1781994697.4474,19.4337,0.60668,11.7900
1781994697.5009,19.4337,0.60668,11.7900
1781994697.5557,19.4387,0.59000,11.4689
1781994697.6099,19.4387,0.59000,11.4689
1781994697.6640,19.4387,0.59160,11.5000
1781994697.7172,19.4387,0.59160,11.5000
1781994697.7710,19.4387,0.59160,11.5000
1781994697.8245,19.4387,0.58965,11.4621
1781994697.8795,19.4387,0.58965,11.4621
1781994697.9323,19.4387,0.58965,11.4621
1781994697.9873,19.4387,0.58867,11.4431
1781994698.0379,19.4387,0.58867,11.4431
1781994698.0929,19.4387,0.59067,11.4820
1781994698.1477,19.4387,0.59067,11.4820
1781994698.1988,19.4387,0.59067,11.4820
1781994698.2516,19.4387,0.58880,11.4455
1781994698.3040,19.4387,0.58880,11.4455
1781994698.3589,19.4387,0.58880,11.4455
1781994698.4129,19.4375,0.59120,11.4915
1781994698.4667,19.4375,0.59120,11.4915
1781994698.5201,19.4387,0.58822,11.4344
1781994698.5740,19.4387,0.58822,11.4344
1781994698.6250,19.4387,0.58822,11.4344
1781994698.6768,19.4400,0.58647,11.4011
1781994698.7318,19.4400,0.58647,11.4011
1781994698.7838,19.4400,0.58647,11.4011
1781994698.8368,19.4387,0.59030,11.4747
1781994698.8918,19.4387,0.59030,11.4747
1781994698.9440,19.4400,0.58545,11.3811
1781994698.9970,19.4400,0.58545,11.3811
1781994699.0516,19.4400,0.58545,11.3811
1781994699.1044,19.4400,0.58688,11.4089
1781994699.1571,19.4400,0.58688,11.4089
1781994699.2081,19.4400,0.58688,11.4089
1781994699.2603,19.4400,0.58558,11.3836
1781994699.3153,19.4400,0.58558,11.3836
1781994699.3701,19.4387,0.58988,11.4664
1781994699.4241,19.4387,0.58988,11.4664
1781994699.4780,19.4387,0.58988,11.4664
1781994699.5293,19.4400,0.58670,11.4054
1781994699.5812,19.4400,0.58670,11.4054
1781994699.6361,19.4400,0.58670,11.4054
1781994699.6900,19.4387,0.58903,11.4499
1781994699.7426,19.4387,0.58903,11.4499
1781994699.7974,19.4400,0.58595,11.3909
1781994699.8515,19.4400,0.58595,11.3909
1781994699.9041,19.4400,0.58595,11.3909
1781994699.9572,19.4400,0.58542,11.3807
1781994700.0114,19.4400,0.58542,11.3807
1781994700.0657,19.4400,0.58542,11.3807
1781994700.1208,19.4400,0.58652,11.4020
1781994700.1732,19.4400,0.58652,11.4020
1781994700.2272,19.4387,0.58883,11.4460
1781994700.2807,19.4387,0.58883,11.4460
1781994700.3357,19.4387,0.58883,11.4460
1781994700.3896,19.4387,0.58900,11.4494
1781994700.4439,19.4387,0.58900,11.4494
1781994700.4954,19.4387,0.58900,11.4494
1781994700.5503,19.4400,0.58560,11.3841
1781994700.6038,19.4400,0.58560,11.3841
1781994700.6550,19.4400,0.58618,11.3952
1781994700.7099,19.4400,0.58618,11.3952
1781994700.7641,19.4400,0.58618,11.3952
1781994700.8147,19.4400,0.58530,11.3782
1781994700.8669,19.4400,0.58530,11.3782
1781994700.9178,19.4400,0.58530,11.3782
1781994700.9724,19.4400,0.58598,11.3914
1781994701.0273,19.4400,0.58598,11.3914
1781994701.0820,19.4400,0.58513,11.3748
1781994701.1360,19.4400,0.58513,11.3748
1781994701.1867,19.4400,0.58513,11.3748
1781994701.2388,19.4400,0.58715,11.4142
1781994701.2924,19.4400,0.58715,11.4142
1781994701.3474,19.4400,0.58715,11.4142
1781994701.4016,19.4363,0.59468,11.5583
1781994701.4562,19.4363,0.59468,11.5583
1781994701.5111,19.4400,0.58665,11.4045
1781994701.5662,19.4400,0.58665,11.4045
1781994701.6201,19.4400,0.58665,11.4045
1781994701.6723,19.4387,0.58778,11.4256
1781994701.7273,19.4387,0.58778,11.4256
1781994701.7793,19.4387,0.58778,11.4256
1781994701.8340,19.4400,0.58553,11.3826
1781994701.8889,19.4400,0.58553,11.3826
1781994701.9403,19.4387,0.58838,11.4373
1781994701.9918,19.4387,0.58838,11.4373
1781994702.0468,19.4387,0.58838,11.4373
1781994702.1018,19.4400,0.58745,11.4200
1781994702.1557,19.4400,0.58745,11.4200
1781994702.2096,19.4400,0.58745,11.4200
1781994702.2643,19.4413,0.58350,11.3440
1781994702.3189,19.4413,0.58350,11.3440
1781994702.3720,19.4387,0.58770,11.4242
1781994702.4241,19.4387,0.58770,11.4242
1781994702.4749,19.4387,0.58770,11.4242
1781994702.5283,19.4400,0.58745,11.4200
1781994702.5816,19.4400,0.58745,11.4200
1781994702.6354,19.4400,0.58745,11.4200
1781994702.6904,19.4400,0.58683,11.4079
1781994702.7421,19.4400,0.58683,11.4079
1781994702.7946,19.4387,0.58865,11.4426
1781994702.8497,19.4387,0.58865,11.4426
1781994702.9028,19.4387,0.58865,11.4426
1781994702.9568,19.4400,0.58603,11.3923
1781994703.0080,19.4400,0.58603,11.3923
1781994703.0613,19.4400,0.58603,11.3923
1781994703.1133,19.4400,0.58753,11.4215
1781994703.1683,19.4400,0.58753,11.4215
1781994703.2203,19.4400,0.58753,11.4215
1781994703.2717,19.4400,0.58555,11.3831
1781994703.3231,19.4400,0.58555,11.3831
1781994703.3739,19.4363,0.59890,11.6404
1781994703.4280,19.4363,0.59890,11.6404
1781994703.4804,19.4363,0.59890,11.6404
1781994703.5332,19.4387,0.59027,11.4742
1781994703.5847,19.4387,0.59027,11.4742
1781994703.6372,19.4387,0.59027,11.4742
1781994703.6898,19.4400,0.58680,11.4074
1781994703.7448,19.4400,0.58680,11.4074
1781994703.7970,19.4387,0.58908,11.4509
1781994703.8520,19.4387,0.58908,11.4509
1781994703.9041,19.4387,0.58908,11.4509
1781994703.9592,19.4400,0.58625,11.3967
1781994704.0132,19.4400,0.58625,11.3967
1781994704.0659,19.4400,0.58625,11.3967
1781994704.1208,19.4400,0.58668,11.4050
1781994704.1755,19.4400,0.58668,11.4050
1781994704.2303,19.4387,0.58908,11.4509
1781994704.2814,19.4387,0.58908,11.4509
1781994704.3329,19.4387,0.58908,11.4509
1781994704.3846,19.4400,0.58708,11.4127
1781994704.4367,19.4400,0.58708,11.4127
1781994704.4877,19.4400,0.58708,11.4127
1781994704.5387,19.4387,0.58950,11.4591
1781994704.5895,19.4387,0.58950,11.4591
1781994704.6445,19.4387,0.58950,11.4591
1781994704.6994,19.4387,0.58838,11.4373
1781994704.7526,19.4387,0.58838,11.4373
1781994704.8074,19.4400,0.58693,11.4098
1781994704.8619,19.4400,0.58693,11.4098
1781994704.9153,19.4400,0.58693,11.4098
1781994704.9659,19.4400,0.58780,11.4268
1781994705.0170,19.4400,0.58780,11.4268
1781994705.0717,19.4400,0.58780,11.4268
1781994705.1217,19.4400,0.58537,11.3797
1781994705.1723,19.4400,0.58537,11.3797
1781994705.2224,19.4400,0.58755,11.4220
1781994705.2771,19.4400,0.58755,11.4220
1781994705.3319,19.4400,0.58755,11.4220
1781994705.3868,19.4375,0.59615,11.5877
1781994705.4404,19.4375,0.59615,11.5877
1781994705.4951,19.4375,0.59615,11.5877
1781994705.5477,19.4363,0.59520,11.5685
1781994705.6025,19.4363,0.59520,11.5685
1781994705.6529,19.4375,0.59110,11.4895
1781994705.7055,19.4375,0.59110,11.4895
1781994705.7591,19.4375,0.59110,11.4895
1781994705.8139,19.4400,0.58885,11.4472
1781994705.8684,19.4400,0.58885,11.4472
1781994705.9202,19.4400,0.58885,11.4472
1781994705.9730,19.4400,0.58635,11.3986
1781994706.0239,19.4400,0.58635,11.3986
1781994706.0762,19.4400,0.58635,11.3986
1781994706.1267,19.4400,0.58735,11.4181
1781994706.1802,19.4400,0.58735,11.4181
1781994706.2320,19.4400,0.58683,11.4079
1781994706.2856,19.4400,0.58683,11.4079
1781994706.3368,19.4400,0.58683,11.4079
1781994706.3898,19.4387,0.59073,11.4830
1781994706.4405,19.4387,0.59073,11.4830
1781994706.4953,19.4387,0.59073,11.4830
1781994706.5465,19.4387,0.59160,11.5000
1781994706.5994,19.4387,0.59160,11.5000
