epoch_s,bus_V,current_A,power_W
1782019578.5154,19.4838,0.44330,8.6371
1782019578.5705,19.4838,0.44330,8.6371
1782019578.6246,19.4838,0.44330,8.6371
1782019578.6773,19.4938,0.40937,7.9803
1782019578.7304,19.4938,0.40937,7.9803
1782019578.7820,19.4938,0.40937,7.9803
1782019578.8340,19.5050,0.37735,7.3602
1782019578.8871,19.5050,0.37735,7.3602
1782019578.9376,19.5050,0.37735,7.3602
1782019578.9890,19.5050,0.37737,7.3607
1782019579.0394,19.5050,0.37737,7.3607
1782019579.0933,19.5050,0.37715,7.3563
1782019579.1438,19.5050,0.37715,7.3563
1782019579.1950,19.5050,0.37715,7.3563
1782019579.2483,19.5050,0.37625,7.3388
1782019579.2988,19.5050,0.37625,7.3388
1782019579.3492,19.5050,0.37625,7.3388
1782019579.3995,19.5050,0.37760,7.3651
1782019579.4504,19.5050,0.37760,7.3651
1782019579.5037,19.5050,0.37760,7.3651
1782019579.5545,19.5063,0.37390,7.2934
1782019579.6048,19.5063,0.37390,7.2934
1782019579.6598,19.5050,0.37563,7.3266
1782019579.7126,19.5050,0.37563,7.3266
1782019579.7627,19.5050,0.37563,7.3266
1782019579.8130,19.5063,0.37415,7.2983
1782019579.8661,19.5063,0.37415,7.2983
1782019579.9212,19.5063,0.37415,7.2983
1782019579.9751,19.5063,0.37412,7.2978
1782019580.0302,19.5063,0.37412,7.2978
1782019580.0830,19.5063,0.37412,7.2978
1782019580.1338,19.5063,0.37320,7.2797
1782019580.1856,19.5063,0.37320,7.2797
1782019580.2363,19.5063,0.37345,7.2846
1782019580.2871,19.5063,0.37345,7.2846
1782019580.3389,19.5063,0.37345,7.2846
1782019580.3939,19.5000,0.39015,7.6079
1782019580.4463,19.5000,0.39015,7.6079
1782019580.4970,19.5000,0.39015,7.6079
1782019580.5496,19.5025,0.38167,7.4436
1782019580.6007,19.5025,0.38167,7.4436
1782019580.6557,19.4988,0.39525,7.7069
1782019580.7088,19.4988,0.39525,7.7069
1782019580.7626,19.4988,0.39525,7.7069
1782019580.8176,19.4800,0.44993,8.7645
1782019580.8726,19.4800,0.44993,8.7645
1782019580.9277,19.4800,0.44993,8.7645
1782019580.9827,19.4675,0.48763,9.4928
1782019581.0339,19.4675,0.48763,9.4928
1782019581.0871,19.4713,0.47935,9.3335
1782019581.1378,19.4713,0.47935,9.3335
1782019581.1882,19.4713,0.47935,9.3335
1782019581.2402,19.4238,0.62087,12.0597
1782019581.2943,19.4238,0.62087,12.0597
1782019581.3467,19.4238,0.62087,12.0597
1782019581.3991,19.4225,0.62440,12.1274
1782019581.4537,19.4225,0.62440,12.1274
1782019581.5086,19.4225,0.62440,12.1274
1782019581.5627,19.4225,0.62262,12.0929
1782019581.6164,19.4225,0.62262,12.0929
1782019581.6688,19.4238,0.62280,12.0971
1782019581.7228,19.4238,0.62280,12.0971
1782019581.7740,19.4238,0.62280,12.0971
1782019581.8248,19.4238,0.62318,12.1044
1782019581.8798,19.4238,0.62318,12.1044
1782019581.9311,19.4238,0.62318,12.1044
1782019581.9861,19.4225,0.62448,12.1289
1782019582.0406,19.4225,0.62448,12.1289
1782019582.0956,19.4225,0.62293,12.0988
1782019582.1500,19.4225,0.62293,12.0988
1782019582.2051,19.4225,0.62293,12.0988
1782019582.2586,19.4238,0.62450,12.1301
1782019582.3130,19.4238,0.62450,12.1301
1782019582.3634,19.4238,0.62450,12.1301
1782019582.4181,19.4225,0.62425,12.1245
1782019582.4705,19.4225,0.62425,12.1245
1782019582.5245,19.4225,0.62300,12.1002
1782019582.5752,19.4225,0.62300,12.1002
1782019582.6288,19.4225,0.62300,12.1002
1782019582.6813,19.4238,0.62150,12.0719
1782019582.7339,19.4238,0.62150,12.0719
1782019582.7853,19.4238,0.62150,12.0719
1782019582.8371,19.4238,0.61920,12.0272
1782019582.8892,19.4238,0.61920,12.0272
1782019582.9412,19.4238,0.61962,12.0354
1782019582.9926,19.4238,0.61962,12.0354
1782019583.0476,19.4238,0.61962,12.0354
1782019583.0988,19.4238,0.62070,12.0563
1782019583.1492,19.4238,0.62070,12.0563
1782019583.1999,19.4238,0.62070,12.0563
1782019583.2542,19.4238,0.62143,12.0704
1782019583.3092,19.4238,0.62143,12.0704
1782019583.3594,19.4238,0.62143,12.0704
1782019583.4123,19.4250,0.61930,12.0299
1782019583.4664,19.4250,0.61930,12.0299
1782019583.5182,19.4175,0.64167,12.4597
1782019583.5695,19.4175,0.64167,12.4597
1782019583.6245,19.4175,0.64167,12.4597
1782019583.6797,19.4238,0.62333,12.1073
1782019583.7304,19.4238,0.62333,12.1073
1782019583.7836,19.4238,0.62333,12.1073
1782019583.8347,19.4238,0.62315,12.1039
1782019583.8858,19.4238,0.62315,12.1039
1782019583.9405,19.4238,0.62375,12.1156
1782019583.9928,19.4238,0.62375,12.1156
1782019584.0474,19.4238,0.62375,12.1156
1782019584.1014,19.4238,0.62343,12.1093
1782019584.1542,19.4238,0.62343,12.1093
1782019584.2072,19.4238,0.62343,12.1093
1782019584.2577,19.4225,0.62333,12.1065
1782019584.3097,19.4225,0.62333,12.1065
1782019584.3630,19.4225,0.62333,12.1065
