epoch_s,bus_V,current_A,power_W
1781993671.4152,19.4750,0.47425,9.2360
1781993671.4702,19.4750,0.47425,9.2360
1781993671.5212,19.4750,0.47425,9.2360
1781993671.5758,19.4887,0.43220,8.4230
1781993671.6271,19.4887,0.43220,8.4230
1781993671.6810,19.4887,0.43220,8.4230
1781993671.7329,19.5050,0.38088,7.4290
1781993671.7872,19.5050,0.38088,7.4290
1781993671.8415,19.5050,0.38088,7.4290
1781993671.8961,19.5050,0.37985,7.4090
1781993671.9511,19.5050,0.37985,7.4090
1781993672.0052,19.5063,0.37860,7.3851
1781993672.0580,19.5063,0.37860,7.3851
1781993672.1121,19.5063,0.37860,7.3851
1781993672.1650,19.5063,0.37843,7.3817
1781993672.2160,19.5063,0.37843,7.3817
1781993672.2665,19.5063,0.37843,7.3817
1781993672.3193,19.5050,0.37893,7.3909
1781993672.3735,19.5050,0.37893,7.3909
1781993672.4285,19.5050,0.38077,7.4270
1781993672.4818,19.5050,0.38077,7.4270
1781993672.5359,19.5050,0.38077,7.4270
1781993672.5869,19.5063,0.37748,7.3631
1781993672.6404,19.5063,0.37748,7.3631
1781993672.6943,19.5063,0.37748,7.3631
1781993672.7455,19.5063,0.37825,7.3782
1781993672.7998,19.5063,0.37825,7.3782
1781993672.8499,19.5050,0.37853,7.3831
1781993672.9019,19.5050,0.37853,7.3831
1781993672.9552,19.5050,0.37853,7.3831
1781993673.0074,19.5063,0.37853,7.3836
1781993673.0618,19.5063,0.37853,7.3836
1781993673.1166,19.5063,0.37853,7.3836
1781993673.1706,19.5063,0.37657,7.3456
1781993673.2243,19.5063,0.37657,7.3456
1781993673.2746,19.5075,0.37462,7.3080
1781993673.3294,19.5075,0.37462,7.3080
1781993673.3843,19.5075,0.37462,7.3080
1781993673.4389,19.5050,0.37970,7.4060
1781993673.4922,19.5050,0.37970,7.4060
1781993673.5471,19.5050,0.37970,7.4060
1781993673.6019,19.5050,0.38167,7.4446
1781993673.6568,19.5050,0.38167,7.4446
1781993673.7105,19.4825,0.44858,8.7394
1781993673.7615,19.4825,0.44858,8.7394
1781993673.8152,19.4825,0.44858,8.7394
1781993673.8679,19.4688,0.48995,9.5387
1781993673.9228,19.4688,0.48995,9.5387
1781993673.9751,19.4688,0.48995,9.5387
1781993674.0288,19.4812,0.45138,8.7933
1781993674.0806,19.4812,0.45138,8.7933
1781993674.1356,19.4863,0.43895,8.5535
1781993674.1901,19.4863,0.43895,8.5535
1781993674.2451,19.4863,0.43895,8.5535
1781993674.2961,19.4288,0.60585,11.7709
1781993674.3511,19.4288,0.60585,11.7709
1781993674.4062,19.4288,0.60585,11.7709
1781993674.4594,19.4262,0.61743,11.9943
1781993674.5109,19.4262,0.61743,11.9943
1781993674.5655,19.4262,0.61618,11.9700
1781993674.6163,19.4262,0.61618,11.9700
1781993674.6710,19.4262,0.61618,11.9700
1781993674.7245,19.4262,0.61815,12.0083
1781993674.7795,19.4262,0.61815,12.0083
1781993674.8345,19.4262,0.61815,12.0083
1781993674.8873,19.4250,0.61877,12.0197
1781993674.9379,19.4250,0.61877,12.0197
1781993674.9912,19.4262,0.61810,12.0074
1781993675.0415,19.4262,0.61810,12.0074
1781993675.0953,19.4262,0.61810,12.0074
1781993675.1498,19.4250,0.61735,11.9920
1781993675.2030,19.4250,0.61735,11.9920
1781993675.2578,19.4250,0.61735,11.9920
1781993675.3128,19.4250,0.62072,12.0576
1781993675.3632,19.4250,0.62072,12.0576
1781993675.4153,19.4250,0.61947,12.0333
1781993675.4675,19.4250,0.61947,12.0333
1781993675.5222,19.4250,0.61947,12.0333
1781993675.5725,19.4262,0.62062,12.0564
1781993675.6272,19.4262,0.62062,12.0564
1781993675.6814,19.4262,0.62062,12.0564
1781993675.7356,19.4250,0.62162,12.0751
1781993675.7887,19.4250,0.62162,12.0751
1781993675.8401,19.4250,0.62103,12.0634
1781993675.8944,19.4250,0.62103,12.0634
1781993675.9480,19.4250,0.62103,12.0634
1781993676.0026,19.4250,0.61920,12.0280
1781993676.0547,19.4250,0.61920,12.0280
1781993676.1087,19.4250,0.61920,12.0280
1781993676.1632,19.4262,0.62160,12.0754
1781993676.2167,19.4262,0.62160,12.0754
1781993676.2697,19.4262,0.62090,12.0618
1781993676.3244,19.4262,0.62090,12.0618
1781993676.3755,19.4262,0.62090,12.0618
1781993676.4269,19.4250,0.62262,12.0945
1781993676.4809,19.4250,0.62262,12.0945
1781993676.5353,19.4250,0.62262,12.0945
1781993676.5901,19.4187,0.63790,12.3872
1781993676.6435,19.4187,0.63790,12.3872
1781993676.6976,19.4238,0.62525,12.1447
1781993676.7512,19.4238,0.62525,12.1447
1781993676.8054,19.4238,0.62525,12.1447
1781993676.8604,19.4250,0.62475,12.1358
