epoch_s,bus_V,current_A,power_W
1782017697.5019,19.4875,0.42643,8.3100
1782017697.5570,19.4875,0.42643,8.3100
1782017697.6099,19.4875,0.42643,8.3100
1782017697.6609,19.4925,0.41173,8.0255
1782017697.7124,19.4925,0.41173,8.0255
1782017697.7667,19.4925,0.41173,8.0255
1782017697.8214,19.5025,0.37973,7.4056
1782017697.8746,19.5025,0.37973,7.4056
1782017697.9282,19.5038,0.37973,7.4061
1782017697.9807,19.5038,0.37853,7.3827
1782017698.0311,19.5038,0.37853,7.3827
1782017698.0860,19.5038,0.37752,7.3632
1782017698.1387,19.5038,0.37752,7.3632
1782017698.1895,19.5038,0.37752,7.3632
1782017698.2405,19.5038,0.37868,7.3856
1782017698.2922,19.5038,0.37868,7.3856
1782017698.3471,19.5038,0.37868,7.3856
1782017698.3977,19.5038,0.37788,7.3700
1782017698.4479,19.5038,0.37788,7.3700
1782017698.4983,19.5038,0.37788,7.3700
1782017698.5522,19.5038,0.37593,7.3319
1782017698.6056,19.5038,0.37593,7.3319
1782017698.6606,19.5038,0.37795,7.3714
1782017698.7140,19.5038,0.37795,7.3714
1782017698.7673,19.5038,0.37795,7.3714
1782017698.8185,19.5050,0.37508,7.3158
1782017698.8695,19.5050,0.37508,7.3158
1782017698.9200,19.5050,0.37508,7.3158
1782017698.9708,19.5038,0.37743,7.3612
1782017699.0243,19.5038,0.37743,7.3612
1782017699.0765,19.5050,0.37458,7.3061
1782017699.1295,19.5050,0.37458,7.3061
1782017699.1827,19.5050,0.37458,7.3061
1782017699.2343,19.5050,0.37432,7.3012
1782017699.2865,19.5050,0.37432,7.3012
1782017699.3394,19.5050,0.37432,7.3012
1782017699.3929,19.5050,0.37545,7.3232
1782017699.4473,19.5050,0.37545,7.3232
1782017699.5024,19.5000,0.38763,7.5587
1782017699.5574,19.5000,0.38763,7.5587
1782017699.6088,19.5000,0.38763,7.5587
1782017699.6637,19.4938,0.40838,7.9608
1782017699.7184,19.4938,0.40838,7.9608
1782017699.7717,19.4938,0.40838,7.9608
1782017699.8262,19.4737,0.46998,9.1522
1782017699.8780,19.4737,0.46998,9.1522
1782017699.9292,19.4700,0.47933,9.3325
1782017699.9819,19.4700,0.47933,9.3325
1782017700.0335,19.4700,0.47933,9.3325
1782017700.0878,19.4713,0.47373,9.2240
1782017700.1407,19.4713,0.47373,9.2240
1782017700.1939,19.4713,0.47373,9.2240
1782017700.2478,19.4238,0.61675,11.9796
1782017700.2993,19.4238,0.61675,11.9796
1782017700.3531,19.4238,0.61675,11.9796
1782017700.4061,19.4200,0.62757,12.1875
1782017700.4563,19.4200,0.62757,12.1875
1782017700.5086,19.4213,0.62887,12.2135
1782017700.5613,19.4213,0.62887,12.2135
1782017700.6133,19.4213,0.62887,12.2135
1782017700.6671,19.4213,0.62845,12.2053
1782017700.7200,19.4213,0.62845,12.2053
1782017700.7721,19.4213,0.62845,12.2053
1782017700.8271,19.4200,0.62800,12.1958
1782017700.8802,19.4200,0.62800,12.1958
1782017700.9352,19.4200,0.62752,12.1865
1782017700.9899,19.4200,0.62752,12.1865
1782017701.0438,19.4200,0.62752,12.1865
1782017701.0948,19.4213,0.63025,12.2402
1782017701.1499,19.4213,0.63025,12.2402
1782017701.2021,19.4213,0.63025,12.2402
1782017701.2526,19.4213,0.63053,12.2456
1782017701.3030,19.4213,0.63053,12.2456
1782017701.3569,19.4213,0.63203,12.2747
1782017701.4101,19.4213,0.63203,12.2747
1782017701.4605,19.4213,0.63203,12.2747
1782017701.5143,19.4213,0.63002,12.2359
1782017701.5693,19.4213,0.63002,12.2359
1782017701.6225,19.4213,0.63002,12.2359
1782017701.6740,19.4200,0.62720,12.1802
1782017701.7290,19.4200,0.62720,12.1802
1782017701.7836,19.4200,0.63057,12.2458
1782017701.8387,19.4200,0.63057,12.2458
1782017701.8914,19.4200,0.63057,12.2458
1782017701.9433,19.4225,0.62570,12.1527
1782017701.9983,19.4225,0.62570,12.1527
1782017702.0493,19.4225,0.62570,12.1527
1782017702.1008,19.4275,0.60945,11.8401
1782017702.1513,19.4275,0.60945,11.8401
1782017702.2018,19.4275,0.60945,11.8401
1782017702.2544,19.4262,0.61140,11.8772
1782017702.3045,19.4262,0.61140,11.8772
1782017702.3572,19.4288,0.60380,11.7311
1782017702.4087,19.4288,0.60380,11.7311
1782017702.4637,19.4288,0.60380,11.7311
1782017702.5187,19.4275,0.60390,11.7323
1782017702.5697,19.4275,0.60390,11.7323
1782017702.6247,19.4275,0.60390,11.7323
1782017702.6773,19.4275,0.60590,11.7711
1782017702.7293,19.4275,0.60590,11.7711
1782017702.7797,19.4275,0.60590,11.7711
1782017702.8348,19.4275,0.60200,11.6954
1782017702.8871,19.4275,0.60200,11.6954
1782017702.9377,19.4275,0.60442,11.7425
1782017702.9888,19.4275,0.60442,11.7425
1782017703.0412,19.4275,0.60442,11.7425
1782017703.0963,19.4288,0.60378,11.7306
1782017703.1508,19.4288,0.60378,11.7306
1782017703.2028,19.4288,0.60378,11.7306
1782017703.2552,19.4300,0.60313,11.7187
1782017703.3102,19.4300,0.60313,11.7187
1782017703.3644,19.4275,0.60567,11.7668
1782017703.4155,19.4275,0.60567,11.7668
1782017703.4705,19.4275,0.60567,11.7668
1782017703.5231,19.4275,0.60188,11.6929
1782017703.5743,19.4275,0.60188,11.6929
1782017703.6280,19.4275,0.60188,11.6929
1782017703.6830,19.4288,0.60388,11.7325
1782017703.7351,19.4288,0.60388,11.7325
1782017703.7881,19.4300,0.60675,11.7892
1782017703.8407,19.4300,0.60675,11.7892
1782017703.8911,19.4300,0.60675,11.7892
1782017703.9414,19.4250,0.61340,11.9153
1782017703.9922,19.4250,0.61340,11.9153
1782017704.0468,19.4250,0.61340,11.9153
1782017704.0989,19.4275,0.60762,11.8046
1782017704.1525,19.4275,0.60762,11.8046
1782017704.2061,19.4275,0.60762,11.8046
1782017704.2570,19.4288,0.60363,11.7277
1782017704.3072,19.4288,0.60363,11.7277
1782017704.3614,19.4288,0.60547,11.7636
1782017704.4135,19.4288,0.60547,11.7636
1782017704.4670,19.4288,0.60547,11.7636
1782017704.5221,19.4288,0.60668,11.7869
1782017704.5734,19.4288,0.60668,11.7869
1782017704.6236,19.4288,0.60668,11.7869
1782017704.6780,19.4275,0.60350,11.7245
1782017704.7330,19.4275,0.60350,11.7245
1782017704.7878,19.4300,0.60262,11.7090
