epoch_s,bus_V,current_A,power_W
1781994516.5379,19.4788,0.47153,9.1847
1781994516.5929,19.4788,0.47153,9.1847
1781994516.6480,19.4788,0.47153,9.1847
1781994516.7034,19.5038,0.39720,7.7469
1781994516.7576,19.5038,0.39720,7.7469
1781994516.8086,19.5038,0.39720,7.7469
1781994516.8596,19.5113,0.37690,7.3538
1781994516.9134,19.5113,0.37690,7.3538
1781994516.9669,19.5113,0.37715,7.3587
1781994517.0202,19.5113,0.37715,7.3587
1781994517.0727,19.5113,0.37715,7.3587
1781994517.1241,19.5113,0.37577,7.3318
1781994517.1772,19.5113,0.37577,7.3318
1781994517.2302,19.5113,0.37577,7.3318
1781994517.2819,19.5100,0.37995,7.4128
1781994517.3361,19.5100,0.37995,7.4128
1781994517.3911,19.5113,0.37565,7.3294
1781994517.4439,19.5113,0.37565,7.3294
1781994517.4952,19.5113,0.37565,7.3294
1781994517.5456,19.5113,0.37648,7.3455
1781994517.6001,19.5113,0.37648,7.3455
1781994517.6533,19.5113,0.37648,7.3455
1781994517.7064,19.5100,0.38042,7.4221
1781994517.7606,19.5100,0.38042,7.4221
1781994517.8130,19.5087,0.38348,7.4811
1781994517.8680,19.5087,0.38348,7.4811
1781994517.9194,19.5087,0.38348,7.4811
1781994517.9710,19.5113,0.37708,7.3572
1781994518.0244,19.5113,0.37708,7.3572
1781994518.0786,19.5113,0.37708,7.3572
1781994518.1317,19.5113,0.37627,7.3416
1781994518.1867,19.5113,0.37627,7.3416
1781994518.2402,19.5100,0.37627,7.3411
1781994518.2934,19.5100,0.37830,7.3806
1781994518.3439,19.5100,0.37830,7.3806
1781994518.3982,19.5113,0.37763,7.3679
1781994518.4509,19.5113,0.37763,7.3679
1781994518.5045,19.5113,0.37763,7.3679
1781994518.5590,19.5113,0.37767,7.3689
1781994518.6134,19.5113,0.37767,7.3689
1781994518.6659,19.5113,0.37767,7.3689
1781994518.7194,19.5050,0.39423,7.6894
1781994518.7731,19.5050,0.39423,7.6894
1781994518.8272,19.4825,0.46037,8.9693
1781994518.8817,19.4825,0.46037,8.9693
1781994518.9367,19.4825,0.46037,8.9693
1781994518.9890,19.4750,0.48573,9.4595
1781994519.0439,19.4750,0.48573,9.4595
1781994519.0972,19.4875,0.48573,9.4656
1781994519.1514,19.4875,0.44677,8.7065
1781994519.2064,19.4875,0.44677,8.7065
1781994519.2615,19.4863,0.45173,8.8024
1781994519.3134,19.4863,0.45173,8.8024
1781994519.3646,19.4863,0.45173,8.8024
1781994519.4162,19.4875,0.44680,8.7070
1781994519.4704,19.4875,0.44680,8.7070
1781994519.5255,19.4938,0.42965,8.3755
1781994519.5792,19.4938,0.42965,8.3755
1781994519.6305,19.4938,0.42965,8.3755
1781994519.6810,19.4988,0.41398,8.0720
1781994519.7357,19.4988,0.41398,8.0720
1781994519.7866,19.4988,0.41398,8.0720
1781994519.8417,19.5000,0.41195,8.0330
1781994519.8921,19.5000,0.41195,8.0330
1781994519.9426,19.5000,0.41195,8.0330
1781994519.9977,19.4887,0.44473,8.6671
1781994520.0514,19.4887,0.44473,8.6671
1781994520.1027,19.4887,0.44560,8.6842
1781994520.1543,19.4887,0.44560,8.6842
1781994520.2093,19.4887,0.44560,8.6842
1781994520.2637,19.4887,0.44537,8.6798
1781994520.3175,19.4887,0.44537,8.6798
1781994520.3694,19.4887,0.44537,8.6798
1781994520.4235,19.4875,0.44900,8.7499
1781994520.4737,19.4875,0.44900,8.7499
1781994520.5271,19.4887,0.44563,8.6847
1781994520.5787,19.4887,0.44563,8.6847
1781994520.6307,19.4887,0.44563,8.6847
1781994520.6857,19.4875,0.44693,8.7095
1781994520.7374,19.4875,0.44693,8.7095
1781994520.7900,19.4875,0.44693,8.7095
1781994520.8414,19.4875,0.44817,8.7338
1781994520.8941,19.4875,0.44817,8.7338
1781994520.9458,19.4875,0.44817,8.7338
1781994520.9968,19.4887,0.44253,8.6243
1781994521.0509,19.4887,0.44253,8.6243
1781994521.1055,19.4900,0.44043,8.5839
1781994521.1562,19.4900,0.44043,8.5839
1781994521.2112,19.4900,0.44043,8.5839
1781994521.2662,19.4887,0.44243,8.6223
1781994521.3188,19.4887,0.44243,8.6223
1781994521.3694,19.4887,0.44243,8.6223
1781994521.4240,19.4875,0.44842,8.7387
1781994521.4772,19.4875,0.44842,8.7387
1781994521.5303,19.4887,0.44548,8.6818
1781994521.5826,19.4887,0.44548,8.6818
1781994521.6353,19.4887,0.44548,8.6818
1781994521.6861,19.4887,0.44285,8.6306
1781994521.7389,19.4887,0.44285,8.6306
1781994521.7938,19.4887,0.44285,8.6306
1781994521.8489,19.4825,0.46143,8.9897
1781994521.9009,19.4825,0.46143,8.9897
1781994521.9517,19.4838,0.46143,8.9903
1781994522.0038,19.4838,0.46200,9.0015
1781994522.0588,19.4838,0.46200,9.0015
1781994522.1109,19.4850,0.45453,8.8564
1781994522.1611,19.4850,0.45453,8.8564
1781994522.2134,19.4850,0.45453,8.8564
1781994522.2676,19.4887,0.44310,8.6355
