epoch_s,bus_V,current_A,power_W
1782018831.9476,19.4887,0.43470,8.4718
1782018832.0027,19.4887,0.43470,8.4718
1782018832.0577,19.4887,0.43470,8.4718
1782018832.1127,19.5075,0.37580,7.3309
1782018832.1644,19.5075,0.37580,7.3309
1782018832.2194,19.5075,0.37580,7.3309
1782018832.2724,19.5075,0.37615,7.3377
1782018832.3243,19.5075,0.37615,7.3377
1782018832.3790,19.5075,0.37430,7.3017
1782018832.4317,19.5075,0.37430,7.3017
1782018832.4847,19.5075,0.37430,7.3017
1782018832.5380,19.5075,0.37483,7.3119
1782018832.5910,19.5075,0.37483,7.3119
1782018832.6426,19.5075,0.37483,7.3119
1782018832.6941,19.5087,0.37335,7.2836
1782018832.7476,19.5087,0.37335,7.2836
1782018832.8024,19.5075,0.37448,7.3051
1782018832.8574,19.5075,0.37448,7.3051
1782018832.9124,19.5075,0.37448,7.3051
1782018832.9664,19.5075,0.37465,7.3085
1782018833.0204,19.5075,0.37465,7.3085
1782018833.0705,19.5075,0.37465,7.3085
1782018833.1218,19.5087,0.37168,7.2509
1782018833.1720,19.5087,0.37168,7.2509
1782018833.2232,19.5087,0.37168,7.2509
1782018833.2782,19.5075,0.37500,7.3153
1782018833.3290,19.5075,0.37500,7.3153
1782018833.3840,19.5087,0.37173,7.2519
1782018833.4387,19.5087,0.37173,7.2519
1782018833.4895,19.5087,0.37173,7.2519
1782018833.5446,19.5075,0.37425,7.3007
1782018833.5979,19.5075,0.37425,7.3007
1782018833.6482,19.5075,0.37425,7.3007
1782018833.7027,19.5087,0.37270,7.2709
1782018833.7577,19.5087,0.37270,7.2709
1782018833.8085,19.5087,0.37270,7.2709
1782018833.8612,19.5087,0.37270,7.2709
1782018833.9156,19.5087,0.37270,7.2709
1782018833.9658,19.5050,0.38203,7.4514
1782018834.0175,19.5050,0.38203,7.4514
1782018834.0726,19.5050,0.38203,7.4514
1782018834.1276,19.5012,0.39208,7.6460
1782018834.1782,19.5012,0.39208,7.6460
1782018834.2331,19.4812,0.45572,8.8781
1782018834.2869,19.4812,0.45572,8.8781
1782018834.3419,19.4812,0.45572,8.8781
1782018834.3922,19.4750,0.47620,9.2740
1782018834.4457,19.4750,0.47620,9.2740
1782018834.5007,19.4750,0.47620,9.2740
1782018834.5555,19.4812,0.45368,8.8382
1782018834.6093,19.4812,0.45368,8.8382
1782018834.6595,19.4850,0.44198,8.6119
1782018834.7108,19.4850,0.44198,8.6119
1782018834.7627,19.4850,0.44198,8.6119
1782018834.8141,19.4875,0.43622,8.5009
1782018834.8649,19.4875,0.43622,8.5009
1782018834.9180,19.4875,0.43622,8.5009
