epoch_s,bus_V,current_A,power_W
1781993449.6362,19.5138,0.35065,6.8425
1781993449.6912,19.5138,0.35065,6.8425
1781993449.7431,19.5138,0.35065,6.8425
1781993449.7978,19.5150,0.34735,6.7785
1781993449.8492,19.5150,0.34735,6.7785
1781993449.9015,19.5150,0.34735,6.7785
1781993449.9549,19.5150,0.34773,6.7859
1781993450.0099,19.5150,0.34773,6.7859
1781993450.0626,19.5150,0.34770,6.7854
1781993450.1168,19.5150,0.34770,6.7854
1781993450.1702,19.5150,0.34770,6.7854
1781993450.2214,19.5138,0.35013,6.8323
1781993450.2764,19.5138,0.35013,6.8323
1781993450.3285,19.5138,0.35013,6.8323
1781993450.3835,19.5113,0.35900,7.0045
1781993450.4385,19.5113,0.35900,7.0045
1781993450.4892,19.5100,0.35900,7.0041
1781993450.5433,19.5100,0.36080,7.0392
1781993450.5963,19.5100,0.36080,7.0392
1781993450.6488,19.5138,0.35228,6.8742
1781993450.7016,19.5138,0.35228,6.8742
1781993450.7565,19.5138,0.35228,6.8742
1781993450.8100,19.5138,0.35132,6.8557
1781993450.8609,19.5138,0.35132,6.8557
1781993450.9139,19.5138,0.35132,6.8557
1781993450.9688,19.5138,0.35107,6.8508
1781993451.0212,19.5138,0.35107,6.8508
1781993451.0721,19.5138,0.35238,6.8762
1781993451.1266,19.5138,0.35238,6.8762
1781993451.1811,19.5138,0.35238,6.8762
1781993451.2352,19.5138,0.35322,6.8927
1781993451.2880,19.5138,0.35322,6.8927
1781993451.3418,19.5138,0.35322,6.8927
1781993451.3958,19.5100,0.36127,7.0485
1781993451.4503,19.5100,0.36127,7.0485
1781993451.5050,19.5100,0.36273,7.0768
1781993451.5557,19.5100,0.36273,7.0768
1781993451.6100,19.5100,0.36273,7.0768
1781993451.6645,19.5125,0.35290,6.8860
1781993451.7189,19.5125,0.35290,6.8860
1781993451.7711,19.5125,0.35290,6.8860
1781993451.8245,19.5087,0.36735,7.1665
1781993451.8794,19.5087,0.36735,7.1665
1781993451.9336,19.5100,0.36465,7.1143
1781993451.9873,19.5100,0.36465,7.1143
1781993452.0420,19.5100,0.36465,7.1143
1781993452.0934,19.5025,0.38612,7.5304
1781993452.1480,19.5025,0.38612,7.5304
1781993452.2002,19.5025,0.38612,7.5304
1781993452.2552,19.4925,0.41657,8.1201
1781993452.3076,19.4925,0.41657,8.1201
1781993452.3616,19.5050,0.37810,7.3748
1781993452.4160,19.5050,0.37810,7.3748
1781993452.4710,19.5050,0.37810,7.3748
1781993452.5248,19.5138,0.35265,6.8815
1781993452.5781,19.5138,0.35265,6.8815
1781993452.6327,19.4900,0.41985,8.1829
1781993452.6873,19.4900,0.41985,8.1829
1781993452.7415,19.4900,0.41985,8.1829
1781993452.7962,19.4850,0.43982,8.5700
1781993452.8511,19.4850,0.43982,8.5700
1781993452.9059,19.4850,0.43982,8.5700
1781993452.9607,19.4825,0.44668,8.7023
1781993453.0157,19.4825,0.44668,8.7023
1781993453.0674,19.4887,0.42540,8.2905
1781993453.1212,19.4887,0.42540,8.2905
1781993453.1762,19.4887,0.42540,8.2905
1781993453.2302,19.4763,0.46108,8.9800
1781993453.2811,19.4763,0.46108,8.9800
1781993453.3345,19.4763,0.46108,8.9800
1781993453.3885,19.4800,0.45063,8.7782
1781993453.4393,19.4800,0.45063,8.7782
