epoch_s,bus_V,current_A,power_W
1782016559.2569,19.4887,0.41637,8.1146
1782016559.3120,19.4887,0.41637,8.1146
1782016559.3655,19.4887,0.41637,8.1146
1782016559.4165,19.4950,0.39975,7.7931
1782016559.4693,19.4950,0.39975,7.7931
1782016559.5206,19.4950,0.39975,7.7931
1782016559.5754,19.5038,0.37125,7.2408
1782016559.6260,19.5038,0.37125,7.2408
1782016559.6787,19.5038,0.37125,7.2408
1782016559.7289,19.5038,0.37110,7.2378
1782016559.7838,19.5038,0.37110,7.2378
1782016559.8349,19.5038,0.37240,7.2632
1782016559.8896,19.5038,0.37240,7.2632
1782016559.9414,19.5038,0.37240,7.2632
1782016559.9964,19.5038,0.37412,7.2968
1782016560.0514,19.5038,0.37412,7.2968
1782016560.1065,19.5038,0.37412,7.2968
1782016560.1611,19.5038,0.37170,7.2495
1782016560.2161,19.5038,0.37170,7.2495
1782016560.2666,19.5038,0.37008,7.2179
1782016560.3194,19.5038,0.37008,7.2179
1782016560.3736,19.5038,0.37008,7.2179
1782016560.4277,19.5038,0.37013,7.2188
1782016560.4813,19.5038,0.37013,7.2188
1782016560.5336,19.5038,0.37013,7.2188
1782016560.5886,19.5038,0.37098,7.2354
1782016560.6428,19.5038,0.37098,7.2354
1782016560.6931,19.5038,0.36985,7.2135
1782016560.7475,19.5038,0.36985,7.2135
1782016560.8011,19.5038,0.36985,7.2135
1782016560.8518,19.5038,0.37093,7.2344
1782016560.9030,19.5038,0.37093,7.2344
1782016560.9581,19.5038,0.37093,7.2344
1782016561.0093,19.5113,0.34990,6.8270
1782016561.0642,19.5113,0.34990,6.8270
1782016561.1180,19.5113,0.34720,6.7743
1782016561.1719,19.5113,0.34720,6.7743
1782016561.2236,19.5113,0.34720,6.7743
1782016561.2757,19.5087,0.35703,6.9651
1782016561.3281,19.5087,0.35703,6.9651
1782016561.3817,19.5087,0.35703,6.9651
1782016561.4368,19.5000,0.37987,7.4076
1782016561.4918,19.5000,0.37987,7.4076
1782016561.5468,19.4887,0.41720,8.1307
1782016561.6005,19.4887,0.41720,8.1307
1782016561.6556,19.4887,0.41720,8.1307
1782016561.7091,19.4725,0.46283,9.0124
1782016561.7602,19.4725,0.46283,9.0124
1782016561.8152,19.4725,0.46283,9.0124
1782016561.8702,19.4850,0.42865,8.3522
1782016561.9227,19.4850,0.42865,8.3522
1782016561.9734,19.4812,0.43712,8.5157
1782016562.0285,19.4812,0.43712,8.5157
1782016562.0818,19.4812,0.43712,8.5157
1782016562.1366,19.4788,0.44480,8.6641
1782016562.1907,19.4788,0.44480,8.6641
1782016562.2442,19.4788,0.44480,8.6641
1782016562.2942,19.4788,0.45248,8.8136
1782016562.3455,19.4788,0.45248,8.8136
1782016562.3982,19.4900,0.41055,8.0016
1782016562.4512,19.4900,0.41055,8.0016
1782016562.5017,19.4900,0.41055,8.0016
1782016562.5519,19.4900,0.41283,8.0460
1782016562.6069,19.4900,0.41283,8.0460
1782016562.6599,19.4900,0.41283,8.0460
1782016562.7109,19.4875,0.42190,8.2218
1782016562.7624,19.4875,0.42190,8.2218
1782016562.8172,19.4875,0.42190,8.2218
1782016562.8680,19.4863,0.42707,8.3221
1782016562.9208,19.4863,0.42707,8.3221
1782016562.9759,19.4788,0.44418,8.6520
1782016563.0279,19.4788,0.44418,8.6520
1782016563.0780,19.4788,0.44418,8.6520
1782016563.1330,19.4812,0.44118,8.5946
1782016563.1832,19.4812,0.44118,8.5946
1782016563.2333,19.4812,0.44118,8.5946
1782016563.2873,19.4812,0.44138,8.5985
1782016563.3413,19.4812,0.44138,8.5985
1782016563.3963,19.4800,0.44372,8.6438
1782016563.4508,19.4800,0.44372,8.6438
1782016563.5042,19.4800,0.44372,8.6438
1782016563.5580,19.4800,0.44340,8.6374
